policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,part,budget_gb,seed,full_warm_gb,n_apps,cold_median_s
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.838007795495989,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314207096682366,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,702644.0,0.056230364612547,2.5421782165775785e-05,2.9696706646735485,coldpen,1024,0,3831.79296875,24274,0.25
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.8380085756692713,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2316308407619142,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,8707035.0,0.6967963189669428,0.0008055950644555,48.834646711943414,coldpen,1024,0,3831.79296875,24274,0.5
BALM-JIT (ours),2825838,12495810846.0,90613408,0.2261428277705221,0.0311856496998766,0.8380078775826117,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314415019325015,1023.742932425605,1023.9912109375,1024.0008544921875,343977.62529500324,26.31824803195657,1050.0611804575617,8842.931338737408,24274,1.0,1669036.0,0.1335676428340199,0.0001075084048426,8.31529914429313,coldpen,1024,0,3831.79296875,24274,0.5
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.8380078206880813,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314272647226568,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,795407.0,0.0636538924766627,5.061387434470227e-05,2.9696706646735485,coldpen,1024,0,3831.79296875,24274,0.5
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.838009381044736,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2319311479382045,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073,48.834646711943414,coldpen,1024,0,3831.79296875,24274,1.0
BALM-JIT (ours),2831252,12495810846.0,90613408,0.2265760929716941,0.031245398032044,0.8380079847727939,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231475553714036,1023.7432591847012,1023.9915771484376,1024.0006103515625,343977.73508605955,26.343514315547452,1050.0867735002485,8851.420810023943,24274,1.0,2141387.0,0.1713683910864794,0.0002146985871936,8.331230358172766,coldpen,1024,0,3831.79296875,24274,1.0
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.83800787128188,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,915260.0,0.0732453468830301,0.0001012076730766,2.9696706646735485,coldpen,1024,0,3831.79296875,24274,1.0
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.8380109919319086,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2321930549755111,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,15882702.0,1.2710421272969388,0.0032218577017371,48.834646711943414,coldpen,1024,0,3831.79296875,24274,2.0
BALM-JIT (ours),2831736,12495810846.0,90613408,0.2266148259523678,0.0312507394049233,0.8380081993949733,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315153939186451,1023.7431604567028,1023.9913330078124,1024.0006103515625,343977.7019134521,26.347890556497234,1050.0910510132,8852.89122698307,24274,1.0,2616476.0,0.2093882527709318,0.0004293207664351,8.332654574559493,coldpen,1024,0,3831.79296875,24274,2.0
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.8380079724592037,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231444286943369,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,990807.0,0.0792911330213648,0.0002023849967421,2.9696706646735485,coldpen,1024,0,3831.79296875,24274,2.0
